ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
29,XAUUSDm,sell,2026-05-04T15:00:00+00:00,2026-05-04T15:20:00+00:00,4561.159,4540.435,4540.435,4508.43,17.576,internal_structure_anchor+sl_floor(17.576),0.01,9,B,sl_hit,20.724
30,XAUUSDm,buy,2026-05-05T22:50:00+00:00,2026-05-05T22:55:00+00:00,4547.8195,4562.23825,4562.23825,4618.516,10.0005,aggressive_ob_boundary+sl_floor(10.000),0.03,10,A+,sl_hit,43.2563
31,XAUUSDm,sell,2026-05-12T06:00:00+00:00,2026-05-12T07:55:00+00:00,4706.432,4703.7465,4703.7465,4671.904,11.509,internal_structure_anchor+sl_floor(11.509),0.02,9,B,sl_hit,5.371
32,XAUUSDm,sell,2026-05-13T12:20:00+00:00,2026-05-13T13:10:00+00:00,4687.742,4690.858,4690.858,4657.742,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,-6.232
33,XAUUSDm,sell,2026-05-13T14:00:00+00:00,2026-05-13T15:30:00+00:00,4676.782,4695.481,4695.481,4582.858,18.699,internal_structure_anchor,0.01,8,B,sl_hit,-18.699
34,XAUUSDm,sell,2026-05-13T17:30:00+00:00,2026-05-13T20:20:00+00:00,4690.577,4692.4,4692.4,4660.577,10.0,internal_structure_anchor+sl_floor(10.000),0.02,9,B,sl_hit,-3.646
35,XAUUSDm,sell,2026-05-15T05:00:00+00:00,2026-05-15T05:30:00+00:00,4600.113,4583.3085,4583.3085,4540.282,10.655,internal_structure_anchor+sl_floor(10.655),0.02,9,B,sl_hit,33.609
36,XAUUSDm,sell,2026-05-15T06:40:00+00:00,2026-05-15T07:10:00+00:00,4567.71,4584.066,4584.066,4500.541,16.356,internal_structure_anchor+sl_floor(16.356),0.01,8,B,sl_hit,-16.356
37,XAUUSDm,sell,2026-05-15T08:55:00+00:00,2026-05-15T10:05:00+00:00,4554.507,4552.937,4552.937,4500.541,14.092,internal_structure_anchor+sl_floor(14.092),0.01,9,B,sl_hit,1.57
38,XAUUSDm,sell,2026-05-15T10:15:00+00:00,2026-05-15T13:50:00+00:00,4557.246,4534.8035,4534.8035,4500.541,15.761,internal_structure_anchor+sl_floor(15.761),0.01,8,B,sl_hit,22.4425
39,XAUUSDm,sell,2026-05-15T15:05:00+00:00,2026-05-15T17:20:00+00:00,4558.544,4558.2775,4558.2775,4500.502,19.347,internal_structure_anchor+sl_floor(19.347),0.01,8,B,sl_hit,0.2665
40,XAUUSDm,sell,2026-05-21T12:55:00+00:00,2026-05-21T13:50:00+00:00,4503.912,4506.245,4506.245,4453.399,11.912,internal_structure_anchor+sl_floor(11.912),0.02,9,B,sl_hit,-4.666
41,XAUUSDm,buy,2026-05-26T09:10:00+00:00,2026-05-26T11:20:00+00:00,4520.564,4525.585,4525.585,4550.564,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,10.042
42,XAUUSDm,sell,2026-05-27T06:00:00+00:00,2026-05-27T08:50:00+00:00,4495.233,4497.62,4497.62,4451.409,14.608,internal_structure_anchor,0.01,9,B,sl_hit,-2.387
43,XAUUSDm,sell,2026-05-27T10:15:00+00:00,2026-05-27T10:45:00+00:00,4479.836,4465.163,4465.163,4437.566,14.09,internal_structure_anchor,0.02,8,B,sl_hit,29.346
44,XAUUSDm,sell,2026-05-27T12:10:00+00:00,2026-05-27T12:15:00+00:00,4430.252,4446.922,4446.922,4380.242,16.67,internal_structure_anchor,0.01,8,B,sl_hit,-16.67
45,XAUUSDm,sell,2026-05-27T23:45:00+00:00,2026-05-28T01:00:00+00:00,4448.353,4458.353,4458.353,4418.353,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,-20.0
46,XAUUSDm,sell,2026-05-28T01:00:00+00:00,2026-05-28T02:10:00+00:00,4454.2455,4401.265,4414.60875,4401.265,12.2245,aggressive_ob_boundary+sl_floor(12.225),0.02,10,A+,tp_hit,105.961
47,XAUUSDm,sell,2026-05-28T04:20:00+00:00,2026-05-28T05:30:00+00:00,4371.61,4386.592,4386.592,4326.664,14.982,internal_structure_anchor+sl_floor(14.982),0.02,8,B,sl_hit,-29.964
48,XAUUSDm,sell,2026-05-28T10:15:00+00:00,2026-05-28T11:15:00+00:00,4399.17,4389.979,4389.979,4366.232,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,18.382
49,XAUUSDm,sell,2026-06-01T03:05:00+00:00,2026-06-01T13:10:00+00:00,4517.671,4496.39,4496.39,4469.455,16.072,internal_structure_anchor,0.01,8,B,sl_hit,21.281
