ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
41,XAUUSDm,sell,2026-06-11T08:30:00+00:00,2026-06-11T09:45:00+00:00,4095.558,4092.32736,4092.32736,4023.831,11.619,internal_structure_anchor,0.02,8,B,sl_hit,6.4213
42,XAUUSDm,buy,2026-06-15T02:10:00+00:00,2026-06-15T05:50:00+00:00,4326.363,4308.245,4308.245,4363.473,18.118,internal_structure_anchor,0.01,8,B,sl_hit,-18.138
43,XAUUSDm,buy,2026-06-15T13:30:00+00:00,2026-06-15T16:15:00+00:00,4362.745,4344.705,4344.705,4457.89,18.04,internal_structure_anchor,0.01,8,B,sl_hit,-18.06
44,XAUUSDm,buy,2026-06-16T08:40:00+00:00,2026-06-16T13:55:00+00:00,4343.151,4332.338,4332.338,4369.321,10.813,internal_structure_anchor,0.02,8,B,sl_hit,-21.666
45,XAUUSDm,sell,2026-06-18T16:45:00+00:00,2026-06-18T19:45:00+00:00,4218.023,4214.72071,4214.72071,4023.831,16.128,internal_structure_anchor,0.01,9,B,sl_hit,3.2823
46,XAUUSDm,sell,2026-06-18T23:45:00+00:00,2026-06-19T05:30:00+00:00,4189.526,4137.87057,4137.87057,4023.831,12.434,internal_structure_anchor,0.01,9,B,sl_hit,51.6354
47,XAUUSDm,sell,2026-06-19T12:45:00+00:00,2026-06-19T12:50:00+00:00,4148.701,4161.224,4161.224,4023.831,12.523,internal_structure_anchor,0.02,8,B,sl_hit,-25.086
48,XAUUSDm,sell,2026-06-23T01:35:00+00:00,2026-06-23T04:55:00+00:00,4162.203,4121.623,4141.40879,4121.623,16.883,internal_structure_anchor,0.01,8,B,tp_hit,40.56
49,XAUUSDm,sell,2026-06-23T12:05:00+00:00,2026-06-23T13:45:00+00:00,4119.925,4132.845,4132.845,4100.545,12.92,internal_structure_anchor,0.01,8,B,sl_hit,-12.94
50,XAUUSDm,sell,2026-06-23T19:50:00+00:00,2026-06-23T22:30:00+00:00,4115.699,4098.957,4113.04607,4098.957,11.161,internal_structure_anchor,0.02,8,B,tp_hit,33.444
51,XAUUSDm,sell,2026-06-23T23:05:00+00:00,2026-06-23T23:45:00+00:00,4096.844,4095.13357,4095.13357,4080.006,11.225,internal_structure_anchor,0.02,8,B,sl_hit,3.3809
52,XAUUSDm,sell,2026-06-24T09:00:00+00:00,2026-06-24T11:05:00+00:00,4074.438,4050.199,4065.39814,4050.199,13.903,internal_structure_anchor,0.01,8,B,tp_hit,24.219
53,XAUUSDm,sell,2026-06-24T17:45:00+00:00,2026-06-24T18:05:00+00:00,3980.069,3976.79193,3976.79193,3953.249,17.88,internal_structure_anchor,0.01,8,B,sl_hit,3.2571
54,XAUUSDm,sell,2026-06-26T02:50:00+00:00,2026-06-26T03:55:00+00:00,3986.412,4002.861,4002.861,3961.738,16.449,internal_structure_anchor,0.01,8,B,sl_hit,-16.469
55,XAUUSDm,sell,2026-06-29T08:45:00+00:00,2026-06-29T09:50:00+00:00,4055.456,4037.429,4053.38271,4037.429,12.018,internal_structure_anchor,0.02,9,B,tp_hit,36.014
56,XAUUSDm,sell,2026-06-29T14:10:00+00:00,2026-06-29T14:25:00+00:00,4008.935,4025.057,4025.057,3958.811,16.122,internal_structure_anchor,0.01,8,B,sl_hit,-16.142
57,XAUUSDm,sell,2026-06-29T14:45:00+00:00,2026-06-29T19:25:00+00:00,4019.767,4014.35664,4014.35664,3958.811,16.59,internal_structure_anchor,0.01,8,B,sl_hit,5.3904
58,XAUUSDm,sell,2026-06-30T23:45:00+00:00,2026-07-01T02:50:00+00:00,4007.482,3984.82293,3984.82293,3958.811,11.728,internal_structure_anchor,0.02,9,B,sl_hit,45.2781
59,XAUUSDm,sell,2026-07-06T05:00:00+00:00,2026-07-06T07:45:00+00:00,4153.955,4165.376,4165.376,4096.828,11.421,internal_structure_anchor,0.02,9,B,sl_hit,-22.882
60,XAUUSDm,sell,2026-07-06T12:30:00+00:00,2026-07-06T13:00:00+00:00,4143.966,4143.77386,4143.77386,4049.227,15.319,internal_structure_anchor,0.01,8,B,sl_hit,0.1721
