ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
43,XAUUSDm,buy,2026-05-05T22:50:00+00:00,2026-05-05T22:55:00+00:00,4547.8195,4567.18986,4567.18986,4618.516,10.0005,aggressive_ob_boundary+sl_floor(10.000),0.04,10,A+,sl_hit,77.4814
44,XAUUSDm,sell,2026-05-12T06:00:00+00:00,2026-05-12T07:50:00+00:00,4706.432,4702.1025,4702.1025,4671.904,11.509,internal_structure_anchor+sl_floor(11.509),0.03,9,B,sl_hit,12.9885
45,XAUUSDm,sell,2026-05-13T12:20:00+00:00,2026-05-13T13:00:00+00:00,4687.742,4689.22986,4689.22986,4657.742,10.0,internal_structure_anchor+sl_floor(10.000),0.03,8,B,sl_hit,-4.4636
46,XAUUSDm,sell,2026-05-13T14:00:00+00:00,2026-05-13T15:30:00+00:00,4676.782,4695.481,4695.481,4582.858,18.699,internal_structure_anchor,0.02,8,B,sl_hit,-37.398
47,XAUUSDm,sell,2026-05-14T20:00:00+00:00,2026-05-15T05:30:00+00:00,4650.099,4586.8605,4586.8605,4500.541,19.969,internal_structure_anchor,0.02,9,B,sl_hit,126.477
48,XAUUSDm,sell,2026-05-15T05:30:00+00:00,2026-05-15T13:55:00+00:00,4569.706,4540.61386,4540.61386,4454.367,38.446,internal_structure_anchor,0.01,9,B,sl_hit,29.0921
49,XAUUSDm,sell,2026-05-15T14:25:00+00:00,2026-05-15T16:40:00+00:00,4555.372,4546.04436,4546.04436,4486.704,22.889,internal_structure_anchor+sl_floor(22.889),0.01,8,B,sl_hit,9.3276
50,XAUUSDm,sell,2026-05-19T14:10:00+00:00,2026-05-20T00:45:00+00:00,4492.776,4504.717,4523.338,4401.089,30.562,internal_structure_anchor+sl_floor(30.562),0.01,8,B,kill_switch,-11.941
51,XAUUSDm,sell,2026-05-21T12:55:00+00:00,2026-05-21T13:50:00+00:00,4503.912,4512.03757,4512.03757,4453.399,11.912,internal_structure_anchor+sl_floor(11.912),0.03,9,B,sl_hit,-24.3767
52,XAUUSDm,buy,2026-05-26T09:10:00+00:00,2026-05-26T11:20:00+00:00,4520.564,4527.382,4527.382,4550.564,10.0,internal_structure_anchor+sl_floor(10.000),0.03,8,B,sl_hit,20.454
53,XAUUSDm,sell,2026-05-27T06:00:00+00:00,2026-05-27T08:00:00+00:00,4495.233,4488.74771,4488.74771,4451.409,14.608,internal_structure_anchor,0.02,9,B,sl_hit,12.9706
54,XAUUSDm,sell,2026-05-27T08:30:00+00:00,2026-05-27T10:35:00+00:00,4488.626,4473.0045,4473.0045,4458.626,10.0,internal_structure_anchor+sl_floor(10.000),0.03,8,B,sl_hit,46.8645
55,XAUUSDm,sell,2026-05-27T10:40:00+00:00,2026-05-27T10:45:00+00:00,4465.832,4458.33757,4458.33757,4421.759,14.691,internal_structure_anchor,0.02,8,B,sl_hit,14.9889
56,XAUUSDm,sell,2026-05-27T10:55:00+00:00,2026-05-27T14:00:00+00:00,4445.881,4435.06729,4435.06729,4341.955,34.642,internal_structure_anchor,0.01,8,B,sl_hit,10.8137
57,XAUUSDm,sell,2026-05-27T23:45:00+00:00,2026-05-28T01:00:00+00:00,4448.353,4458.353,4458.353,4418.353,10.0,internal_structure_anchor+sl_floor(10.000),0.03,8,B,sl_hit,-30.0
58,XAUUSDm,sell,2026-06-01T03:05:00+00:00,2026-06-01T09:15:00+00:00,4517.671,4503.67614,4503.67614,4469.455,16.072,internal_structure_anchor,0.02,8,B,sl_hit,27.9897
59,XAUUSDm,sell,2026-06-01T14:15:00+00:00,2026-06-01T15:30:00+00:00,4456.965,4477.193,4480.54,4366.232,23.575,internal_structure_anchor+sl_floor(23.575),0.01,8,B,kill_switch,-20.228
