ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
12,XAUUSDm,sell,2026-03-20T09:40:00+00:00,2026-03-20T11:40:00+00:00,4673.564,4670.99029,4670.99029,4502.509,19.879,internal_structure_anchor+sl_floor(19.879),0.01,8,B,sl_hit,2.5737
13,XAUUSDm,sell,2026-03-26T05:05:00+00:00,2026-03-26T05:25:00+00:00,4511.76,4502.60857,4502.60857,4472.499,13.087,internal_structure_anchor,0.01,8,B,sl_hit,9.1514
14,XAUUSDm,sell,2026-03-26T05:25:00+00:00,2026-03-26T05:50:00+00:00,4493.648,4460.804,4484.67293,4460.804,10.948,internal_structure_anchor+sl_floor(10.948),0.02,9,B,tp_hit,65.688
15,XAUUSDm,sell,2026-03-26T19:50:00+00:00,2026-03-26T20:10:00+00:00,4364.419,4379.891,4379.891,4318.003,15.472,internal_structure_anchor+sl_floor(15.472),0.01,9,B,sl_hit,-15.472
16,XAUUSDm,sell,2026-04-13T09:05:00+00:00,2026-04-13T10:45:00+00:00,4724.298,4720.61793,4720.61793,4664.573,11.075,aggressive_ob_boundary+sl_floor(11.075),0.02,11,A+,sl_hit,7.3601
17,XAUUSDm,buy,2026-04-21T12:10:00+00:00,2026-04-21T12:20:00+00:00,4791.263,4781.263,4781.263,4821.263,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,-20.0
18,XAUUSDm,buy,2026-04-21T12:20:00+00:00,2026-04-21T12:30:00+00:00,4782.766,4772.766,4772.766,4812.766,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,-20.0
19,XAUUSDm,sell,2026-04-22T12:10:00+00:00,2026-04-22T13:40:00+00:00,4752.331,4753.51114,4753.51114,4703.435,10.0,internal_structure_anchor+sl_floor(10.000),0.02,9,B,sl_hit,-2.3603
20,XAUUSDm,sell,2026-04-22T14:30:00+00:00,2026-04-23T00:10:00+00:00,4736.077,4709.637,4709.637,4668.161,14.159,internal_structure_anchor+sl_floor(14.159),0.01,8,B,sl_hit,26.44
21,XAUUSDm,sell,2026-04-23T17:00:00+00:00,2026-04-23T17:05:00+00:00,4730.76,4724.2315,4724.2315,4700.229,10.177,aggressive_ob_boundary+sl_floor(10.177),0.02,10,A+,sl_hit,13.057
22,XAUUSDm,sell,2026-04-24T04:15:00+00:00,2026-04-24T04:45:00+00:00,4669.263,4669.57507,4669.57507,4639.263,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,-0.6241
23,XAUUSDm,sell,2026-04-24T09:20:00+00:00,2026-04-24T11:00:00+00:00,4686.622,4686.41071,4686.41071,4644.273,10.0,internal_structure_anchor+sl_floor(10.000),0.02,9,B,sl_hit,0.4226
24,XAUUSDm,sell,2026-04-24T20:00:00+00:00,2026-04-26T22:05:00+00:00,4716.613,4693.82657,4693.82657,4664.091,10.0,aggressive_ob_boundary+sl_floor(10.000),0.02,10,A+,sl_hit,45.5729
25,XAUUSDm,sell,2026-04-27T14:00:00+00:00,2026-04-27T16:45:00+00:00,4694.038,4677.43243,4677.43243,4657.574,11.207,internal_structure_anchor+sl_floor(11.207),0.02,8,B,sl_hit,33.2111
26,XAUUSDm,sell,2026-04-28T01:00:00+00:00,2026-04-28T01:55:00+00:00,4689.167,4680.96364,4680.96364,4659.167,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,16.4067
27,XAUUSDm,sell,2026-04-28T01:55:00+00:00,2026-04-28T05:05:00+00:00,4670.774,4656.05036,4656.05036,4640.774,10.0,internal_structure_anchor+sl_floor(10.000),0.02,9,B,sl_hit,29.4473
28,XAUUSDm,sell,2026-04-28T06:20:00+00:00,2026-04-28T11:35:00+00:00,4626.103,4585.50964,4585.50964,4568.245,19.286,internal_structure_anchor,0.01,8,B,sl_hit,40.5934
29,XAUUSDm,sell,2026-04-29T07:05:00+00:00,2026-04-29T08:50:00+00:00,4579.404,4573.14293,4573.14293,4548.783,10.207,internal_structure_anchor,0.02,8,B,sl_hit,12.5221
30,XAUUSDm,sell,2026-04-29T09:50:00+00:00,2026-04-29T10:10:00+00:00,4554.992,4566.033,4566.033,4521.868,11.041,internal_structure_anchor+sl_floor(11.041),0.02,8,B,sl_hit,-22.082
31,XAUUSDm,sell,2026-04-29T12:50:00+00:00,2026-04-29T13:45:00+00:00,4545.015,4510.466,4533.32643,4510.466,11.516,internal_structure_anchor+sl_floor(11.516),0.02,8,B,tp_hit,69.098
32,XAUUSDm,sell,2026-04-29T19:20:00+00:00,2026-04-30T00:00:00+00:00,4544.736,4563.968,4563.968,4487.039,19.232,internal_structure_anchor+sl_floor(19.232),0.01,8,B,sl_hit,-19.232
33,XAUUSDm,sell,2026-05-04T15:00:00+00:00,2026-05-04T16:05:00+00:00,4561.159,4508.43,4543.77164,4508.43,17.576,internal_structure_anchor+sl_floor(17.576),0.01,9,B,tp_hit,52.729
34,XAUUSDm,buy,2026-05-05T22:50:00+00:00,2026-05-05T22:55:00+00:00,4547.8195,4567.18986,4567.18986,4618.516,10.0005,aggressive_ob_boundary+sl_floor(10.000),0.03,10,A+,sl_hit,58.1111
35,XAUUSDm,sell,2026-05-12T06:00:00+00:00,2026-05-12T07:50:00+00:00,4706.432,4702.1025,4702.1025,4671.904,11.509,internal_structure_anchor+sl_floor(11.509),0.02,9,B,sl_hit,8.659
36,XAUUSDm,sell,2026-05-13T12:20:00+00:00,2026-05-13T13:00:00+00:00,4687.742,4689.22986,4689.22986,4657.742,10.0,internal_structure_anchor+sl_floor(10.000),0.02,8,B,sl_hit,-2.9757
37,XAUUSDm,sell,2026-05-13T14:00:00+00:00,2026-05-13T15:30:00+00:00,4676.782,4695.481,4695.481,4582.858,18.699,internal_structure_anchor,0.01,8,B,sl_hit,-18.699
38,XAUUSDm,sell,2026-05-13T17:30:00+00:00,2026-05-13T19:10:00+00:00,4690.577,4688.33264,4688.33264,4660.577,10.0,internal_structure_anchor+sl_floor(10.000),0.02,9,B,sl_hit,4.4887
39,XAUUSDm,sell,2026-05-15T05:00:00+00:00,2026-05-15T05:30:00+00:00,4600.113,4586.8605,4586.8605,4540.282,10.655,internal_structure_anchor+sl_floor(10.655),0.02,9,B,sl_hit,26.505
40,XAUUSDm,sell,2026-05-15T06:40:00+00:00,2026-05-15T07:10:00+00:00,4567.71,4584.066,4584.066,4500.541,16.356,internal_structure_anchor+sl_floor(16.356),0.01,8,B,sl_hit,-16.356
41,XAUUSDm,sell,2026-05-15T08:55:00+00:00,2026-05-15T10:05:00+00:00,4554.507,4552.94857,4552.94857,4500.541,14.092,internal_structure_anchor+sl_floor(14.092),0.02,9,B,sl_hit,3.1169
