ticket,symbol,direction,opened_at,closed_at,entry_price,exit_price,sl,tp,risk_price,sl_reason,lot,score,grade,reason,pnl
31,XAUUSDm,sell,2026-04-29T12:50:00+00:00,2026-04-29T13:45:00+00:00,4545.015,4510.466,4556.531,4510.466,11.516,internal_structure_anchor+sl_floor(11.516),0.01,8,B,tp_hit,34.549
32,XAUUSDm,sell,2026-04-29T19:20:00+00:00,2026-04-30T00:00:00+00:00,4544.736,4563.968,4563.968,4487.039,19.232,internal_structure_anchor+sl_floor(19.232),0.01,8,B,sl_hit,-19.232
33,XAUUSDm,sell,2026-05-04T15:00:00+00:00,2026-05-04T16:05:00+00:00,4561.159,4508.43,4578.735,4508.43,17.576,internal_structure_anchor+sl_floor(17.576),0.01,9,B,tp_hit,52.729
34,XAUUSDm,buy,2026-05-05T22:50:00+00:00,2026-05-06T00:55:00+00:00,4547.8195,4618.516,4537.819,4618.516,10.0005,aggressive_ob_boundary+sl_floor(10.000),0.02,10,A+,tp_hit,141.393
35,XAUUSDm,sell,2026-05-12T06:00:00+00:00,2026-05-12T14:30:00+00:00,4706.432,4671.904,4717.941,4671.904,11.509,internal_structure_anchor+sl_floor(11.509),0.01,9,B,tp_hit,34.528
36,XAUUSDm,sell,2026-05-13T12:20:00+00:00,2026-05-13T15:35:00+00:00,4687.742,4697.742,4697.742,4657.742,10.0,internal_structure_anchor+sl_floor(10.000),0.01,8,B,sl_hit,-10.0
37,XAUUSDm,sell,2026-05-13T17:30:00+00:00,2026-05-13T22:50:00+00:00,4690.577,4700.577,4700.577,4660.577,10.0,internal_structure_anchor+sl_floor(10.000),0.01,9,B,sl_hit,-10.0
38,XAUUSDm,sell,2026-05-14T20:00:00+00:00,2026-05-18T00:30:00+00:00,4650.099,4500.541,4670.068,4500.541,19.969,internal_structure_anchor,0.01,9,B,tp_hit,149.558
39,XAUUSDm,sell,2026-05-19T14:10:00+00:00,2026-05-20T14:30:00+00:00,4492.776,4523.338,4523.338,4401.089,30.562,internal_structure_anchor+sl_floor(30.562),0.01,8,B,sl_hit,-30.562
40,XAUUSDm,sell,2026-05-21T12:55:00+00:00,2026-05-21T13:50:00+00:00,4503.912,4515.824,4515.824,4453.399,11.912,internal_structure_anchor+sl_floor(11.912),0.01,9,B,sl_hit,-11.912
41,XAUUSDm,buy,2026-05-26T09:10:00+00:00,2026-05-26T11:35:00+00:00,4520.564,4510.564,4510.564,4550.564,10.0,internal_structure_anchor+sl_floor(10.000),0.01,8,B,sl_hit,-10.0
42,XAUUSDm,sell,2026-05-27T06:00:00+00:00,2026-05-27T10:45:00+00:00,4495.233,4451.409,4509.841,4451.409,14.608,internal_structure_anchor,0.01,9,B,tp_hit,43.824
43,XAUUSDm,sell,2026-05-27T12:10:00+00:00,2026-05-27T12:15:00+00:00,4430.252,4446.922,4446.922,4380.242,16.67,internal_structure_anchor,0.01,8,B,sl_hit,-16.67
44,XAUUSDm,sell,2026-05-27T23:45:00+00:00,2026-05-28T01:00:00+00:00,4448.353,4458.353,4458.353,4418.353,10.0,internal_structure_anchor+sl_floor(10.000),0.01,8,B,sl_hit,-10.0
45,XAUUSDm,sell,2026-05-28T01:00:00+00:00,2026-05-28T02:10:00+00:00,4454.2455,4401.265,4466.47,4401.265,12.2245,aggressive_ob_boundary+sl_floor(12.225),0.02,10,A+,tp_hit,105.961
46,XAUUSDm,sell,2026-05-28T04:20:00+00:00,2026-05-28T05:30:00+00:00,4371.61,4386.592,4386.592,4326.664,14.982,internal_structure_anchor+sl_floor(14.982),0.01,8,B,sl_hit,-14.982
47,XAUUSDm,sell,2026-05-28T10:15:00+00:00,2026-05-28T12:45:00+00:00,4399.17,4409.17,4409.17,4366.232,10.0,internal_structure_anchor+sl_floor(10.000),0.01,8,B,sl_hit,-10.0
48,XAUUSDm,sell,2026-06-01T03:05:00+00:00,2026-06-01T13:20:00+00:00,4517.671,4469.455,4533.743,4469.455,16.072,internal_structure_anchor,0.01,8,B,tp_hit,48.216
49,XAUUSDm,sell,2026-06-01T14:15:00+00:00,2026-06-01T16:50:00+00:00,4456.965,4480.54,4480.54,4366.232,23.575,internal_structure_anchor+sl_floor(23.575),0.01,8,B,sl_hit,-23.575
